"user";"booking_date";"origin_airport";"price";"sales channel";"ant"
"user7";2018-11-01;"MAD";59.7700004578;"online";18
"user1";2018-11-01;"ALC";54.6699981689;"online";56
"user7";2018-11-01;"MAD";49.6399993896;"online";30
"user10";2018-11-01;"MAD";18.1700000763;"online";10
"user6";2018-11-01;"MAD";22;"travel agency";2
"user7";2018-11-01;"MAD";122.370002747;"travel agency";13
"user9";2018-11-01;"TFN";52.7400016785;"online";36
"user10";2018-11-01;"MAD";164.970001221;"online";6
"user7";2018-10-31;"CPH";48.3400001526;"online";4
"user5";2018-11-01;"MAD";70.3499984741;"online";38
"user2";2018-10-30;"LGW";59.3600006104;"online";66
"user5";2018-11-01;"IBZ";108.940002441;"online";32
"user9";2018-11-01;"ALC";32.8100013733;"online";28
"user9";2018-11-01;"MAD";414.119995117;"travel agency";1
"user6";2018-10-29;"MAD";58.0299987793;"online";3
"user9";2018-11-01;"AMS";106.480003357;"travel agency";28
"user4";2018-11-01;"SCQ";321;"travel agency";29
"user2";2018-11-01;"JMK";99.8499984741;"online";1
"user5";2018-10-31;"TLS";159.380004883;"travel agency";52
"user3";2018-11-01;"MAD";156.630004883;"call center";42
"user9";2018-11-02;"TFS";96.2900009155;"travel agency";38
"user8";2018-11-01;"SVQ";32.3699989319;"online";51
"user7";2018-11-01;"LPA";38.8899993896;"online";51
"user8";2018-11-01;"MAD";63.3400001526;"online";45
"user8";2018-11-01;"MAD";49.3499984741;"travel agency";22
"user5";2018-11-02;"PMI";41.75;"online";5
"user7";2018-11-01;"IBZ";79.5800018311;"online";4
"user1";2018-11-01;"ALC";26.2999992371;"online";17
"user9";2018-11-03;"MAD";24.8099994659;"travel agency";27
"user1";2018-11-01;"MAD";59.3100013733;"online";31
"user2";2018-11-01;"MAD";24.8500003815;"travel agency";9
"user8";2018-11-01;"MAD";62.2099990845;"travel agency";4
"user9";2018-10-29;"SPC";80.8099975586;"online";27
"user8";2018-11-01;"MAD";30.5100002289;"online";4
"user7";2018-10-30;"MAD";34.4399986267;"online";28
"user3";2018-11-01;"MAD";28.3999996185;"travel agency";15
"user7";2018-11-01;"FUE";28.6800003052;"online";27
"user10";2018-11-01;"MAD";19.5499992371;"online";29
"user2";2018-11-01;"MAD";31.0200004578;"online";22
"user2";2018-11-01;"PMI";30.0100002289;"online";4
"user9";2018-11-01;"LPA";169.710006714;"travel agency";10
"user9";2018-10-31;"MAD";81.5922616998235;"online";16
"user1";2018-11-01;"LGW";222.850006104;"online";35
"user9";2018-11-01;"MAD";67.7099990845;"travel agency";23
"user9";2018-11-01;"MAD";111.379997253;"online";1
"user7";2018-11-01;"MAD";39.0099983215;"online";5
"user4";2018-10-29;"MAD";48.2099990845;"travel agency";45
"user2";2018-10-29;"MAD";18.4599990845;"travel agency";38
"user5";2018-11-01;"SPC";221;"travel agency";23
"user7";2018-10-29;"ACE";118.230003357;"online";12
"user3";2018-11-01;"TLS";39.1100006104;"online";1
"user8";2018-10-29;"MAD";33.9399986267;"online";26
